"","individual","scans_sampled","degree","strength","betweenness","eigenvector","group","season_id","group_size","degree_normalized"
"56","UnkBB",3,3,0.0430329865170291,0,0.0341251743048585,"Ankhase","dry_2025",15,0.214285714285714
"57","ghid",2,2,0.0215078630897317,0,0.0251628605336576,"Ankhase","dry_2025",15,0.142857142857143
"58","gib",1,1,0.0112359550561798,0,0.00459633829732552,"Ankhase","dry_2025",15,0.0714285714285714
"59","giji",2,2,0.021505376344086,0,0.0246434857752372,"Ankhase","dry_2025",15,0.142857142857143
"60","gobe",1,1,0.0108695652173913,0,0.0206821068926466,"Ankhase","dry_2025",15,0.0714285714285714
"61","gom",1,1,0.0108695652173913,0,0.00748077466197698,"Ankhase","dry_2025",15,0.0714285714285714
"62","gon",3,3,0.0325043377674957,0,0.0129099273405469,"Ankhase","dry_2025",15,0.214285714285714
"63","ncok",1,1,0.010752688172043,0,0.00573598803036153,"Ankhase","dry_2025",15,0.0714285714285714
"64","ndin",1,1,0.0108695652173913,0,0.00748077466197698,"Ankhase","dry_2025",15,0.0714285714285714
"65","sho",1,1,0.0108695652173913,0,0.00748077466197698,"Ankhase","dry_2025",15,0.0714285714285714
"66","Gha",4,1,0.0833333333333333,0,0.166464616740246,"Ankhase","wet_2025",15,0.0714285714285714
"67","Ghid",185,16,0.236675581152577,0.195767195767196,1,"Ankhase","wet_2025",15,1.14285714285714
"68","Gib",166,16,0.0768501499415192,0.00264550264550265,0.230784346444532,"Ankhase","wet_2025",15,1.14285714285714
"69","Giji",153,17,0.243238625814695,0.121693121693122,0.992044314306439,"Ankhase","wet_2025",15,1.21428571428571
"70","Ginq",192,17,0.206932434110712,0.211640211640212,0.757959550168216,"Ankhase","wet_2025",15,1.21428571428571
"71","Gobe",143,13,0.138909688576081,0.00264550264550265,0.639578088325496,"Ankhase","wet_2025",15,0.928571428571429
"72","Gom",150,13,0.109914085281462,0.0171957671957672,0.306521558456162,"Ankhase","wet_2025",15,0.928571428571429
"73","Gon",147,20,0.154830577024654,0.044973544973545,0.468734918505505,"Ankhase","wet_2025",15,1.42857142857143
"74","Nci",150,17,0.172940048365176,0.078042328042328,0.482413313509506,"Ankhase","wet_2025",15,1.21428571428571
"75","Ncok",167,19,0.183668012220582,0.0873015873015873,0.530343593116716,"Ankhase","wet_2025",15,1.35714285714286
"76","Ndaw",177,19,0.235914217892393,0.296296296296296,0.733508915950801,"Ankhase","wet_2025",15,1.35714285714286
"77","Ndin",149,22,0.213931491731956,0.0687830687830688,0.676126872000121,"Ankhase","wet_2025",15,1.57142857142857
"78","Ndl",149,19,0.151208021400867,0.0476190476190476,0.468543889499803,"Ankhase","wet_2025",15,1.35714285714286
"79","Ndon",175,20,0.168140179045839,0.0396825396825397,0.49655929864296,"Ankhase","wet_2025",15,1.42857142857143
"80","Sho",176,21,0.187870327017406,0.0502645502645503,0.64745297355027,"Ankhase","wet_2025",15,1.5
"81","ghid",12,10,0.095689616675816,0.00529100529100529,0.360234319706805,"Ankhase","wet_2025",15,0.714285714285714
"82","gib",4,4,0.025249398004816,0,0.0853824521262348,"Ankhase","wet_2025",15,0.285714285714286
"83","giji",9,7,0.0609661327881718,0,0.226992711757242,"Ankhase","wet_2025",15,0.5
"84","ginq",8,8,0.0539408209346603,0,0.186266967669461,"Ankhase","wet_2025",15,0.571428571428571
"85","gobe",5,5,0.0295318926209423,0,0.114464585029605,"Ankhase","wet_2025",15,0.357142857142857
"86","gom",10,8,0.0638565814378961,0.00264550264550265,0.214802416962544,"Ankhase","wet_2025",15,0.571428571428571
"87","gon",10,8,0.0686527945975393,0,0.276040243997475,"Ankhase","wet_2025",15,0.571428571428571
"88","nci",9,6,0.0580414080064824,0,0.209674990034429,"Ankhase","wet_2025",15,0.428571428571429
"89","ncok",14,10,0.0905876420701115,0,0.321466716387971,"Ankhase","wet_2025",15,0.714285714285714
"90","ndaw",9,6,0.0519400788752661,0,0.156339153881064,"Ankhase","wet_2025",15,0.428571428571429
